,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR
489,29-0000,Healthcare Practitioners and Technical Occupations,major,8646730,0.3,39.42,82000,0.2,16.25,22.91,31.94,45.69,67.12,33800,47650,66440,95020,139620,,,2018
580,31-0000,Healthcare Support Occupations,major,4117450,0.4,15.57,32380,0.2,10.21,11.77,14.3,18.04,23.05,21240,24470,29740,37520,47950,,,2018
606,33-0000,Protective Service Occupations,major,3437410,0.4,23.36,48580,0.6,10.63,13.46,19.54,29.85,42.35,22110,28000,40640,62090,88090,,,2018
647,35-0000,Food Preparation and Serving Related Occupations,major,13374620,0.1,12.3,25580,0.2,8.49,9.33,11.09,13.59,17.96,17660,19410,23070,28270,37360,,,2018
681,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4421980,0.3,14.43,30020,0.2,9.24,10.71,12.91,16.81,22.14,19220,22280,26840,34970,46040,,,2018
699,39-0000,Personal Care and Service Occupations,major,5451330,0.4,13.51,28090,0.2,8.86,10.21,11.74,14.64,20.23,18430,21240,24420,30450,42080,,,2018
759,41-0000,Sales and Related Occupations,major,14542290,0.2,20.09,41790,0.2,9.1,10.63,13.55,22.87,38.16,18920,22120,28180,47570,79370,,,2018
802,43-0000,Office and Administrative Support Occupations,major,21828990,0.2,18.75,38990,0.1,10.65,13.11,17.19,22.75,29.48,22150,27280,35760,47320,61330,,,2018
915,45-0000,"Farming, Fishing, and Forestry Occupations",major,480130,1.3,14.49,30140,0.5,10.41,11.05,12.2,16.08,22.27,21650,22980,25380,33460,46330,,,2018
939,47-0000,Construction and Extraction Occupations,major,5962640,0.2,24.62,51220,0.2,13.16,16.55,22.12,30.17,40.3,27380,34420,46010,62760,83820,,,2018
1042,49-0000,"Installation, Maintenance, and Repair Occupations",major,5628880,0.3,23.54,48960,0.1,12.43,16.15,21.89,29.31,37.57,25860,33590,45540,60950,78140,,,2018
1118,51-0000,Production Occupations,major,9115530,0.3,18.84,39190,0.2,10.66,12.89,16.86,22.82,30.03,22180,26820,35070,47470,62460,,,2018
1284,53-0000,Transportation and Material Moving Occupations,major,10244260,0.3,18.41,38290,0.4,9.94,11.87,15.74,21.96,29.75,20670,24700,32730,45670,61870,,,2018
1,,Management Occupations,major,8054120,0.2,58.88,122480,0.1,24.03,34.35,50.8,74.16,#,49990,71460,105660,154260,#,,,2019
67,,Business and Financial Operations Occupations,major,8183750,0.2,37.56,78130,0.2,18.76,25.06,33.57,45.61,60.6,39020,52130,69820,94870,126040,,,2019
118,,Computer and Mathematical Occupations,major,4552880,0.4,45.08,93760,0.5,21.79,30.22,42.47,57.47,73.08,45320,62850,88340,119550,152010,,,2019
148,,Architecture and Engineering Occupations,major,2592680,0.5,42.69,88800,0.3,21.77,29.28,39.15,52.87,68.56,45280,60910,81440,109970,142610,,,2019
208,,"Life, Physical, and Social Science Occupations",major,1288920,0.7,37.28,77540,0.4,17.62,23.73,32.77,46.24,61.59,36640,49360,68160,96180,128100,,,2019
284,,Community and Social Service Occupations,major,2244310,0.4,24.27,50480,0.4,13.25,16.78,22.16,29.51,38.39,27550,34890,46090,61380,79850,,,2019
